"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value","Action"
"YUM","Yum Brands Inc","Common stocks","Large cap","Consumer Discretionary","$36,241,960,840","1.76%","22.08","5.45","-4.29","Analyze"
"EA","Electronic Arts Inc","Common stocks","Large cap","Communication Services","$36,105,773,003","0.69%","45.76","5.16","4.74","Analyze"
"WBA","Walgreen Boots Alliance Inc","Common stocks","Large cap","Consumer Staples","$35,889,743,277","4.53%","5.68","0.26","1.34","Analyze"
"DOW","Dow Inc.","Common stocks","Large cap","Materials","$35,870,609,941","5.39%","5.21","0.61","1.90","Analyze"
"LVS","Las Vegas Sands Corp","Common stocks","Large cap","Consumer Discretionary","$35,793,547,618","0.00%","19.40","8.99","7.91","Analyze"
"ALL","Allstate Corp","Common stocks","Large cap","Financials","$35,511,561,959","2.51%","9.94","0.71","1.51","Analyze"
"CMI","Cummins Inc","Common stocks","Large cap","Industrials","$35,419,201,556","2.38%","18.06","1.46","4.17","Analyze"
"AMP","Ameriprise Finance Inc","Common stocks","Large cap","Financials","$35,325,189,208","1.46%","11.42","2.56","7.03","Analyze"
"IDXX","Idexx Laboratories Inc","Common stocks","Large cap","Health Care","$35,269,257,478","0.00%","48.01","10.77","55.13","Analyze"
"KR","Kroger","Common stocks","Large cap","Consumer Staples","$35,210,512,832","1.90%","31.82","0.00","3.67","Analyze"
"ABC","AmerisourceBergen Corp","Common stocks","Large cap","Health Care","$35,106,762,873","1.08%","20.44","0.15","64.15","Analyze"
"DD","DuPont de Nemours, Inc.","Common stocks","Large cap","Materials","$35,028,588,723","1.86%","22.41","2.20","1.34","Analyze"
"BF.B","Brown Forman Inc Class B","Common stocks","Large cap","Consumer Staples","$34,980,411,471","1.02%","28.44","9.33","9.11","Analyze"
"ED","Consolidated Edison Inc","Common stocks","Large cap","Utilities","$34,790,753,618","3.18%","22.71","2.47","1.70","Analyze"
"HAL","Halliburton","Common stocks","Large cap","Energy","$34,405,892,381","1.07%","22.20","2.13","4.90","Analyze"
"ILMN","Illumina Inc","Common stocks","Large cap","Health Care","$34,303,984,000","0.00%","49.01","7.37","3.15","Analyze"
"TDG","Transdigm Group Inc","Common stocks","Large cap","Industrials","$34,174,433,586","0.00%","38.86","6.81","-11.90","Analyze"
"RMD","Resmed Inc","Common stocks","Large cap","Health Care","$33,720,536,230","0.74%","43.10","9.81","10.25","Analyze"
"DLTR","Dollar Tree Inc","Common stocks","Large cap","Consumer Discretionary","$33,655,486,470","0.00%","23.70","1.28","4.36","Analyze"
"WELL","Welltower Inc","REITs","Large cap","Real Estate","$33,563,198,309","2.55%","102.73","6.63","1.87","Analyze"
"NDAQ","Nasdaq Inc","Common stocks","Large cap","Financials","$33,534,740,445","1.10%","28.71","5.81","5.60","Analyze"
"ODFL","Old Dominion Freight Line Inc","Common stocks","Large cap","Industrials","$33,432,843,633","0.30%","29.29","5.94","9.49","Analyze"
"CSGP","Costar Group Inc","Common stocks","Large cap","Industrials","$32,958,162,462","0.00%","107.12","16.46","5.69","Analyze"
"VICI","VICI Properties Inc","REITs","Large cap","Real Estate","$32,937,946,402","4.22%","33.13","21.22","2.12","Analyze"
"MTD","Mettler Toledo Inc","Common stocks","Large cap","Health Care","$32,762,648,387","0.00%","41.88","8.60","392.88","Analyze"
"AME","Ametek Inc","Common stocks","Large cap","Industrials","$32,707,379,221","0.60%","31.54","5.65","4.75","Analyze"
"ALB","Albemarle Corp","Common stocks","Large cap","Materials","$32,567,305,204","0.57%","114.62","8.98","5.54","Analyze"
"OTIS","Otis Worldwide Corporation","Common stocks","Large cap","Industrials","$32,531,206,753","1.41%","26.29","2.27","-6.53","Analyze"
"ON","ON Semiconductor Corp","Common stocks","Large cap","Information Technology","$32,518,252,690","0.00%","22.07","4.51","6.40","Analyze"
"KEYS","Keysight Technologies Inc","Common stocks","Large cap","Information Technology","$32,342,458,185","0.00%","31.72","6.29","8.59","Analyze"
"DLR","Digital Realty Trust, Inc","REITs","Large cap","Real Estate","$32,334,755,047","4.22%","23.41","7.24","1.81","Analyze"
"SBAC","SBA Communications Corporation","REITs","Large cap","Real Estate","$32,314,085,523","0.95%","74.25","13.58","-5.99","Analyze"
"CTSH","Cognizant Technology Solutions","Common stocks","Large cap","Information Technology","$31,971,052,285","1.73%","14.57","1.69","2.67","Analyze"
"PPG","PPG Industries Inc","Common stocks","Large cap","Materials","$31,780,404,217","1.78%","29.40","1.84","5.10","Analyze"
"CEG","Constellation Energy Corporation","Common stocks","Large cap","Utilities","$31,432,960,067","0.59%","-50.21","1.50","2.83","Analyze"
"WEC","WEC Energy Group Inc","Common stocks","Large cap","Utilities","$31,272,179,403","2.88%","22.63","3.67","2.72","Analyze"
"PCG","Pacific Gas & Electric Co.","Common stocks","Large cap","Utilities","$31,243,000,000","0.00%","122.86","1.44","1.45","Analyze"
"GWW","W.W. Grainger Inc","Common stocks","Large cap","Industrials","$30,472,177,345","1.12%","26.03","2.24","14.65","Analyze"
"ROK","Rockwell Automation Inc","Common stocks","Large cap","Industrials","$30,344,121,841","1.70%","47.51","4.14","11.64","Analyze"
"HPQ","HP Inc","Common stocks","Large cap","Information Technology","$30,218,402,423","3.29%","4.61","0.47","-12.90","Analyze"
"PEG","Public Service Enterprise Group Inc","Common stocks","Large cap","Utilities","$30,211,406,999","3.48%","-23.22","3.30","2.22","Analyze"
"OKE","Oneok Inc","Common stocks","Large cap","Energy","$29,910,151,107","5.46%","19.98","1.59","5.01","Analyze"
"DHI","D R Horton Inc","Common stocks","Large cap","Consumer Discretionary","$29,613,345,522","1.04%","5.93","0.97","1.78","Analyze"
"DFS","Discover Financial Services","Common stocks","Large cap","Financials","$29,606,743,895","2.11%","5.81","2.43","2.17","Analyze"
"FAST","Fastenal","Common stocks","Large cap","Industrials","$29,502,861,419","2.38%","29.98","4.68","9.39","Analyze"
"MTB","M&T Bank Corp","Common stocks","Large cap","Financials","$29,347,720,577","2.80%","17.21","4.93","1.63","Analyze"
"STT","State Street Corp","Common stocks","Large cap","Financials","$29,234,121,511","2.90%","10.83","2.58","1.10","Analyze"
"BKR","Baker Hughes Company Class A","Common stocks","Large cap","Energy","$29,062,588,272","2.49%","94.98","1.41","1.85","Analyze"
"APTV","Aptiv Plc","Common stocks","Large cap","Consumer Discretionary","$28,902,191,592","0.00%","88.79","1.83","3.39","Analyze"
"GLW","Corning Inc","Common stocks","Large cap","Information Technology","$28,867,542,263","3.13%","26.69","1.99","2.34","Analyze"
"ES","Eversource Energy","Common stocks","Large cap","Utilities","$28,860,752,490","3.00%","22.52","2.75","1.97","Analyze"
"VRSK","Verisk Analytics Inc","Common stocks","Large cap","Industrials","$28,730,030,295","0.66%","29.01","9.43","10.95","Analyze"
"BAX","Baxter International Inc","Common stocks","Large cap","Health Care","$28,497,946,506","2.00%","24.98","2.10","2.91","Analyze"
"GPN","Global Payments Inc","Common stocks","Large cap","Information Technology","$28,062,230,932","0.96%","27.62","3.23","1.11","Analyze"
"TROW","T Rowe Price Group Inc","Common stocks","Large cap","Financials","$27,912,989,667","3.69%","9.93","3.62","3.14","Analyze"
"IT","Gartner Inc","Common stocks","Large cap","Information Technology","$27,687,772,021","0.00%","35.11","5.66","238.28","Analyze"
"WBD","Warner Bros. Discovery, Inc. - Series A","Common stocks","Large cap","Communication Services","$27,683,714,571","0.00%","22.72","2.20","2.36","Analyze"
"LYB","Lyondellbasell Industries NV","Common stocks","Large cap","Materials","$27,681,333,049","5.43%","4.71","0.55","2.17","Analyze"
"AWK","American Water Works Inc","Common stocks","Large cap","Utilities","$27,594,198,158","1.68%","21.74","7.10","3.75","Analyze"
"IFF","International Flavors & Fragrances","Common stocks","Large cap","Materials","$26,980,105,612","2.97%","48.95","2.17","1.30","Analyze"
"WTW","Willis Towers Watson Public Limited Company","Common stocks","Large cap","Financials","$26,643,772,785","1.32%","6.16","2.92","2.43","Analyze"
"FANG","Diamondback Energy Inc","Common stocks","Large cap","Energy","$26,051,309,368","1.87%","9.50","3.25","2.04","Analyze"
"GPC","Genuine Parts","Common stocks","Large cap","Consumer Discretionary","$25,879,110,112","1.89%","28.16","1.31","7.26","Analyze"
"HRL","Hormel Foods Corp","Common stocks","Large cap","Consumer Staples","$25,671,287,388","2.19%","28.07","2.14","3.66","Analyze"
"CDW","CDW Corp","Common stocks","Large cap","Information Technology","$25,540,154,844","1.10%","25.38","1.16","28.60","Analyze"
"ARE","Alexandria Real Estate Equities, Inc","REITs","Large cap","Real Estate","$25,533,621,018","2.96%","63.06","11.35","1.50","Analyze"
"EIX","Edison International","Common stocks","Large cap","Utilities","$25,455,765,769","4.13%","42.84","1.60","1.59","Analyze"
"ZBH","Zimmer Biomet Holdings Inc","Common stocks","Large cap","Health Care","$25,203,272,279","0.80%","64.46","3.29","2.15","Analyze"
"CBRE","CBRE Group Inc","Common stocks","Large cap","Real Estate","$25,149,503,625","0.00%","12.80","0.86","2.97","Analyze"
"RJF","Raymond James Inc","Common stocks","Large cap","Financials","$25,140,933,671","1.16%","16.78","2.40","2.94","Analyze"
"LEN","Lennar Corporation Class A","Common stocks","Large cap","Consumer Discretionary","$25,019,166,155","1.70%","5.71","0.89","1.09","Analyze"
"TSCO","Tractor Supply","Common stocks","Large cap","Consumer Discretionary","$24,998,936,976","1.62%","24.74","1.93","13.86","Analyze"
"FITB","Fifth Third Bancorp","Common stocks","Large cap","Financials","$24,957,364,596","3.34%","10.17","3.54","1.24","Analyze"
"K","Kellogg","Common stocks","Large cap","Consumer Staples","$24,811,024,500","3.18%","16.15","1.74","6.56","Analyze"
"EBAY","Ebay Inc","Common stocks","Large cap","Consumer Discretionary","$24,658,428,913","1.92%","2.12","2.40","3.50","Analyze"
"EQR","Equity Residential","REITs","Large cap","Real Estate","$24,511,821,151","3.77%","18.19","9.73","2.26","Analyze"
"AVB","AvalonBay Communities, Inc","REITs","Large cap","Real Estate","$24,468,046,690","3.59%","21.68","10.38","2.22","Analyze"
"URI","United Rentals Inc","Common stocks","Large cap","Industrials","$24,467,973,047","0.00%","15.94","2.40","4.06","Analyze"
"VMC","Vulcan Materials","Common stocks","Large cap","Materials","$24,365,815,744","0.87%","40.45","4.04","3.72","Analyze"
"HIG","Hartford Financial Services Group","Common stocks","Large cap","Financials","$24,293,215,208","2.05%","9.45","1.13","1.51","Analyze"
"EFX","Equifax Inc","Common stocks","Large cap","Industrials","$24,166,659,582","0.79%","32.40","4.76","6.46","Analyze"
"WY","Weyerhaeuser Company","REITs","Large cap","Real Estate","$24,071,845,070","2.14%","8.81","2.23","2.32","Analyze"
"FTV","Fortive Corp","Common stocks","Large cap","Industrials","$23,899,747,490","0.41%","37.26","4.45","2.51","Analyze"
"TSN","Tyson Foods Inc Class A","Common stocks","Large cap","Consumer Staples","$23,836,276,400","2.78%","5.81","0.46","1.24","Analyze"
"ULTA","Ulta Beauty Inc","Common stocks","Large cap","Consumer Discretionary","$23,809,801,130","0.00%","24.55","2.76","15.76","Analyze"
"LUV","Southwest Airlines","Common stocks","Large cap","Industrials","$23,696,642,480","0.00%","40.75","1.29","2.28","Analyze"
"ETR","Entergy Corp","Common stocks","Large cap","Utilities","$23,659,045,148","3.44%","22.32","2.01","2.01","Analyze"
"FE","Firstenergy Corp","Common stocks","Large cap","Utilities","$23,579,101,762","3.73%","19.14","2.07","2.70","Analyze"
"AEE","Ameren Corp","Common stocks","Large cap","Utilities","$23,091,200,135","2.59%","22.73","3.44","2.34","Analyze"
"FRC","First Republic Bank","Common stocks","Large cap","Financials","$22,924,729,552","0.80%","16.04","4.39","1.42","Analyze"
"MKC","McCormick & Co  Non-voting","Common stocks","Large cap","Consumer Staples","$22,825,098,833","1.73%","28.71","3.59","4.67","Analyze"
"MLM","Martin Marietta Materials Inc","Common stocks","Large cap","Materials","$22,754,997,537","0.69%","34.46","4.02","3.53","Analyze"
"DAL","Delta Air Lines Inc","Common stocks","Large cap","Industrials","$22,678,832,364","0.00%","43.96","0.65","7.58","Analyze"
"DTE","DTE Energy","Common stocks","Large cap","Utilities","$22,476,008,376","3.02%","24.91","1.39","2.54","Analyze"
"HBAN","Huntington Bancshares Inc","Common stocks","Large cap","Financials","$22,333,526,267","3.94%","20.60","3.56","1.21","Analyze"
"ACGL","Arch Capital Group Ltd","Common stocks","Large cap","Financials","$22,159,093,048","0.00%","11.97","2.57","1.72","Analyze"
"ANSS","Ansys Inc","Common stocks","Large cap","Information Technology","$22,152,641,361","0.00%","48.88","11.25","5.08","Analyze"
"CTRA","Coterra Energy Inc.","Common stocks","Large cap","Energy","$22,006,123,766","2.09%","13.19","4.71","1.85","Analyze"
"PFG","Principal Financial Group Inc","Common stocks","Large cap","Financials","$21,943,152,607","2.82%","14.17","1.55","1.87","Analyze"
"IR","Ingersoll Rand Plc","Common stocks","Large cap","Industrials","$21,853,842,350","0.15%","18.05","4.08","2.44","Analyze"
"PPL","PPL Corporation","Common stocks","Large cap","Utilities","$21,736,115,744","3.56%","34.07","3.58","1.56","Analyze"
"RF","Regions Financial Corp","Common stocks","Large cap","Financials","$21,688,482,515","3.02%","9.30","3.73","1.27","Analyze"
"HPE","Hewlett Packard Enterprise","Common stocks","Large cap","Information Technology","$21,590,841,035","2.82%","5.82","0.77","1.07","Analyze"
"EXR","Extra Space Storage Inc","REITs","Large cap","Real Estate","$21,519,850,334","3.54%","25.88","12.95","6.68","Analyze"
"PWR","Quanta Services Inc","Common stocks","Large cap","Industrials","$21,418,025,261","0.19%","45.09","1.50","4.22","Analyze"
"LH","Laboratory Corporation Of America","Common stocks","Large cap","Health Care","$21,326,020,000","0.89%","10.20","1.34","2.00","Analyze"
"CF","CF Industries Holdings Inc","Common stocks","Large cap","Materials","$21,225,738,002","1.38%","12.33","2.54","5.08","Analyze"
"EPAM","Epam Systems Inc","Common stocks","Large cap","Information Technology","$21,198,321,407","0.00%","45.98","5.11","8.33","Analyze"
"VRSN","Verisign Inc","Common stocks","Large cap","Information Technology","$21,183,148,073","0.00%","27.38","15.68","-16.88","Analyze"
"CAH","Cardinal Health Inc","Common stocks","Large cap","Health Care","$21,015,287,029","2.43%","-21.76","0.12","-29.81","Analyze"
"CFG","Citizens Financial Group Inc","Common stocks","Large cap","Financials","$20,871,767,139","3.76%","10.27","3.15","0.94","Analyze"
"WAT","Waters Corp","Common stocks","Large cap","Health Care","$20,590,665,495","0.00%","29.25","7.18","54.97","Analyze"
"PAYC","Paycom Software Inc","Common stocks","Large cap","Information Technology","$20,352,907,128","0.00%","93.07","17.90","20.59","Analyze"
"WRB","WR Berkley Corp","Common stocks","Large cap","Financials","$20,250,518,510","0.49%","14.45","1.98","2.91","Analyze"
"XYL","Xylem Inc","Common stocks","Large cap","Industrials","$20,247,889,120","1.06%","48.60","3.89","6.41","Analyze"
"CHD","Church And Dwight Inc","Common stocks","Large cap","Consumer Staples","$19,965,501,569","1.28%","24.72","3.80","5.89","Analyze"
"INVH","Invitation Homes Inc","REITs","Large cap","Real Estate","$19,950,305,331","2.67%","66.77","9.71","1.94","Analyze"
"DOV","Dover Corp","Common stocks","Large cap","Industrials","$19,923,243,203","1.41%","17.90","2.46","4.62","Analyze"
"ROL","Rollins Inc","Common stocks","Large cap","Industrials","$19,915,585,312","1.06%","60.19","8.03","17.96","Analyze"
"TDY","Teledyne Technologies Inc","Common stocks","Large cap","Information Technology","$19,690,546,169","0.00%","34.71","3.84","2.54","Analyze"
"MOH","Molina Healthcare Inc","Common stocks","Large cap","Health Care","$19,667,368,000","0.00%","28.38","0.68","7.00","Analyze"
"CNP","Centerpoint Energy Inc","Common stocks","Large cap","Utilities","$19,584,853,480","2.23%","12.40","2.29","1.96","Analyze"
"MRO","Marathon Oil Corp","Common stocks","Large cap","Energy","$19,452,127,939","1.04%","8.88","3.15","1.68","Analyze"
"NTRS","Northern Trust Corporation","Common stocks","Large cap","Financials","$19,405,583,313","3.03%","12.94","3.04","1.71","Analyze"
"AES","AES Corp","Common stocks","Large cap","Utilities","$19,317,107,580","2.16%","-131.39","1.70","6.30","Analyze"
"BBY","Best Buy Inc","Common stocks","Large cap","Consumer Discretionary","$19,203,657,837","3.85%","11.32","0.00","6.45","Analyze"
"MAA","Mid-America Apartment Communities, Inc","REITs","Large cap","Real Estate","$19,039,850,728","2.80%","31.95","10.41","3.20","Analyze"
"JBHT","JB Hunt Transport Services Inc","Common stocks","Large cap","Industrials","$19,039,496,715","0.87%","22.20","1.46","5.85","Analyze"
"HOLX","Hologic Inc","Common stocks","Large cap","Health Care","$18,722,699,085","0.00%","12.06","3.47","3.91","Analyze"
"VTR","Ventas, Inc","REITs","Large cap","Real Estate","$18,598,877,842","3.81%","127.87","4.73","1.73","Analyze"
"STE","STERIS PLC","Common stocks","Large cap","Health Care","$18,541,115,290","0.97%","78.71","4.04","2.93","Analyze"
"EXPD","Expeditors International Of Washington","Common stocks","Large cap","Industrials","$18,469,368,727","1.15%","12.53","1.03","4.81","Analyze"
"AMCR","Amcor plc","Common stocks","Large cap","Materials","$18,389,391,517","3.85%","19.36","1.31","4.08","Analyze"
"WAB","Westinghouse Air Brake Technologies","Common stocks","Large cap","Industrials","$18,385,022,372","0.59%","31.54","2.32","1.86","Analyze"
"CLX","Clorox","Common stocks","Large cap","Consumer Staples","$18,341,150,074","3.11%","40.37","2.58","46.23","Analyze"
"CAG","Conagra Brands Inc","Common stocks","Large cap","Consumer Staples","$18,202,105,166","3.34%","17.45","1.60","2.07","Analyze"
"DRI","Darden Restaurants Inc","Common stocks","Large cap","Consumer Discretionary","$17,989,673,802","3.10%","17.15","1.93","7.80","Analyze"
"MPWR","Monolithic Power Systems Inc","Common stocks","Large cap","Information Technology","$17,929,966,320","0.74%","64.94","13.47","13.52","Analyze"
"IEX","IDEX Corp","Common stocks","Large cap","Industrials","$17,911,759,176","0.98%","38.09","6.25","6.26","Analyze"
"GRMN","Garmin Ltd","Common stocks","Large cap","Consumer Discretionary","$17,822,829,130","1.41%","16.84","3.51","2.89","Analyze"
"TTWO","Take Two Interactive Software Inc","Common stocks","Large cap","Communication Services","$17,736,803,427","0.00%","42.72","5.06","4.69","Analyze"
"CMS","CMS Energy Corp","Common stocks","Large cap","Utilities","$17,725,665,334","2.98%","17.84","2.31","1.82","Analyze"
"INCY","Incyte Corp","Common stocks","Large cap","Health Care","$17,724,620,536","0.00%","19.00","5.69","4.59","Analyze"
"PKI","Perkinelmer Inc","Common stocks","Large cap","Health Care","$17,637,271,695","0.20%","24.52","3.51","2.49","Analyze"
"BALL","Ball Corporation","Common stocks","Large cap","Materials","$17,604,642,012","1.42%","15.60","1.22","4.50","Analyze"
"FDS","Factset Research Systems Inc","Common stocks","Large cap","Financials","$17,574,326,981","0.75%","42.90","10.54","14.79","Analyze"
"KEY","Keycorp","Common stocks","Large cap","Financials","$17,549,158,044","4.13%","7.45","2.51","1.14","Analyze"
"BR","Broadridge Financial Solutions Inc","Common stocks","Large cap","Information Technology","$17,543,585,213","1.76%","31.98","3.18","9.68","Analyze"
"J","Jacobs Engineering Group Inc.","Common stocks","Large cap","Industrials","$17,485,555,712","0.68%","0.00","1.22","0.00","Analyze"
"MOS","Mosaic","Common stocks","Large cap","Materials","$17,466,677,044","1.09%","6.29","1.25","1.44","Analyze"
"CINF","Cincinnati Financial Corp","Common stocks","Large cap","Financials","$17,441,170,816","2.41%","8.50","2.02","1.44","Analyze"
"WST","West Pharmaceutical Services Inc","Common stocks","Large cap","Health Care","$17,372,580,729","0.31%","26.18","6.03","7.70","Analyze"
"DGX","Quest Diagnostics Inc","Common stocks","Large cap","Health Care","$17,291,533,963","1.70%","9.27","1.62","2.73","Analyze"
"FOX","Fox Corporation Class B","Common stocks","Large cap","Communication Services","$17,146,784,137","1.60%","6.36","1.24","0.65","Analyze"
"FOXA","Fox Corporation Class A","Common stocks","Large cap","Communication Services","$17,146,784,137","1.50%","8.52","1.24","0.88","Analyze"
"ABMD","Abiomed Inc","Common stocks","Large cap","Health Care","$17,034,998,403","0.00%","75.55","16.51","11.33","Analyze"
"ATO","Atmos Energy Corp","Common stocks","Large cap","Utilities","$16,936,249,235","2.30%","22.83","4.46","1.84","Analyze"
"SYF","Synchrony Financial","Common stocks","Large cap","Financials","$16,931,346,864","2.37%","3.96","1.08","1.18","Analyze"
"BRO","Brown & Brown Inc","Common stocks","Large cap","Financials","$16,877,220,850","0.71%","27.46","5.38","3.85","Analyze"
"TRGP","Targa Resources Corp","Common stocks","Large cap","Energy","$16,840,065,039","1.87%","-133.07","0.92","10.00","Analyze"
"LYV","Live Nation Entertainment Inc","Common stocks","Large cap","Communication Services","$16,798,819,996","0.00%","-37.87","2.16","-32.79","Analyze"
"SEDG","SolarEdge Technologies Inc","Common stocks","Large cap","Information Technology","$16,704,742,343","0.00%","96.00","7.55","8.22","Analyze"
"ETSY","Etsy Inc","Common stocks","Large cap","Consumer Discretionary","$16,602,169,660","0.00%","38.09","7.04","24.53","Analyze"
"FMC","FMC Corp","Common stocks","Large cap","Materials","$16,456,188,181","1.61%","21.52","3.16","5.35","Analyze"
"SJM","J.M. Smucker","Common stocks","Large cap","Consumer Staples","$16,410,896,703","2.57%","28.45","2.08","1.98","Analyze"
"OMC","Omnicom Group Inc","Common stocks","Large cap","Communication Services","$16,264,350,369","3.46%","13.12","1.14","5.43","Analyze"
"CPB","Campbell Soup","Common stocks","Large cap","Consumer Staples","$16,088,033,221","2.73%","17.44","1.94","4.79","Analyze"
"EXPE","Expedia Inc","Common stocks","Large cap","Consumer Discretionary","$16,086,623,580","0.00%","74.82","1.68","7.74","Analyze"
"CPRT","Copart Inc","Common stocks","Large cap","Industrials","$15,845,885,087","0.00%","14.64","4.71","3.64","Analyze"
"IRM","Iron Mountain Incorporated","REITs","Large cap","Real Estate","$15,794,493,630","4.47%","35.63","3.39","21.02","Analyze"
"AVY","Avery Dennison Corp","Common stocks","Large cap","Materials","$15,653,739,477","1.13%","21.46","1.80","8.09","Analyze"
"COO","Cooper Companies, Inc.","Common stocks","Large cap","Health Care","$15,610,602,355","0.02%","17.17","5.15","2.33","Analyze"
"HWM","Howmet Aerospace Inc.","Common stocks","Large cap","Industrials","$15,584,532,434","0.27%","51.76","3.06","4.60","Analyze"
"EQT","EQT Corporation","Common stocks","Large cap","Energy","$15,566,421,072","1.29%","-5.79","2.80","1.86","Analyze"
"ALGN","Align Technology Inc","Common stocks","Large cap","Health Care","$15,361,574,948","0.00%","21.76","3.81","4.19","Analyze"
"SWKS","Skyworks Solutions Inc","Common stocks","Large cap","Information Technology","$15,314,600,940","2.45%","11.10","3.02","2.93","Analyze"
"RCL","Royal Caribbean Cruises Ltd","Common stocks","Large cap","Consumer Discretionary","$15,293,058,159","0.00%","-2.93","6.00","3.90","Analyze"
"APA","Apache Corp","Common stocks","Large cap","Energy","$15,062,827,877","1.33%","6.05","1.72","16.16","Analyze"
"GEN","Gen Digital Inc.","Common stocks","Large cap","Information Technology","$14,955,222,868","2.17%","0.00","0.00","0.00","Analyze"
"LDOS","Leidos Holdings Inc","Common stocks","Large cap","Industrials","$14,944,269,267","1.31%","40.06","0.00","3.79","Analyze"
"PTC","PTC Inc","Common stocks","Large cap","Information Technology","$14,943,609,176","0.00%","31.21","7.95","7.19","Analyze"
"AKAM","Akamai Technologies Inc","Common stocks","Large cap","Information Technology","$14,916,003,819","0.00%","24.25","4.23","3.47","Analyze"
"TXT","Textron Inc","Common stocks","Large cap","Industrials","$14,902,107,671","0.11%","19.83","1.19","2.17","Analyze"
"NVR","NVR, Inc.","Common stocks","Large cap","Consumer Discretionary","$14,825,751,752","0.00%","10.71","1.59","5.56","Analyze"
"TRMB","Trimble Inc","Common stocks","Large cap","Information Technology","$14,735,825,287","0.00%","30.86","3.91","3.78","Analyze"
"NTAP","NetApp Inc","Common stocks","Large cap","Information Technology","$14,696,095,315","2.93%","14.62","2.37","16.78","Analyze"
"TER","Teradyne Inc","Common stocks","Large cap","Information Technology","$14,555,411,844","0.47%","14.71","3.96","5.81","Analyze"
"LKQ","LKQ Corp","Common stocks","Large cap","Consumer Discretionary","$14,515,616,935","1.87%","13.22","1.09","2.51","Analyze"
"FLT","Fleetcor Technologies Inc","Common stocks","Large cap","Information Technology","$14,470,213,424","0.00%","16.58","4.80","4.98","Analyze"
"UAL","United Continental Holdings Inc","Common stocks","Large cap","Industrials","$14,432,313,311","0.00%","-7.23","0.50","3.96","Analyze"
"TYL","Tyler Technologies Inc","Common stocks","Large cap","Information Technology","$14,271,658,641","0.00%","89.18","8.14","6.14","Analyze"
"ESS","Essex Property Trust, Inc","REITs","Large cap","Real Estate","$14,270,445,089","3.89%","36.20","9.73","2.39","Analyze"
"KIM","Kimco Realty Corporation","REITs","Large cap","Real Estate","$14,175,122,201","3.36%","15.28","9.39","1.40","Analyze"
"MGM","MGM Resorts International","Common stocks","Large cap","Consumer Discretionary","$14,154,988,111","0.03%","9.35","1.30","2.83","Analyze"
"LNT","Alliant Energy Corp","Common stocks","Large cap","Utilities","$14,132,529,029","3.00%","20.78","3.68","2.33","Analyze"
"MTCH","Match Group Inc","Common stocks","Large cap","Communication Services","$14,121,716,719","0.00%","49.13","4.53","-113.96","Analyze"
"PEAK","Healthpeak Properties, Inc.","REITs","Large cap","Real Estate","$14,115,804,181","4.49%","32.80","7.28","2.19","Analyze"
"ZBRA","Zebra Technologies Corp","Common stocks","Large cap","Information Technology","$13,954,501,803","0.00%","17.05","2.44","4.78","Analyze"
"JKHY","Jack Henry & Associates, Inc.","Common stocks","Large cap","Information Technology","$13,812,975,139","1.27%","38.44","7.23","10.40","Analyze"
"L","Loews Corp","Common stocks","Large cap","Financials","$13,806,383,074","0.43%","8.33","1.02","0.83","Analyze"
"DPZ","Dominos Pizza Inc","Common stocks","Large cap","Consumer Discretionary","$13,760,800,599","1.09%","28.22","3.14","-3.25","Analyze"
"SIVB","SVB Financial Group","Common stocks","Large cap","Financials","$13,699,153,861","0.00%","7.89","2.44","0.84","Analyze"
"EVRG","Evergy Inc","Common stocks","Large cap","Utilities","$13,590,849,356","3.88%","16.67","2.61","1.46","Analyze"
"HST","Host Hotels & Resorts, Inc","REITs","Large cap","Real Estate","$13,542,625,793","1.10%","42.72","0.00","2.08","Analyze"
"NDSN","Nordson Corp","Common stocks","Large cap","Industrials","$13,529,757,497","0.92%","27.62","5.53","6.19","Analyze"
"UDR","UDR, Inc","REITs","Large cap","Real Estate","$13,500,217,617","3.58%","85.12","10.03","3.92","Analyze"
"CBOE","Cboe Global Markets, Inc.","Common stocks","Large cap","Financials","$13,455,463,077","1.54%","26.84","3.89","3.76","Analyze"
"BEN","Franklin Resources Inc","Common stocks","Large cap","Financials","$13,393,165,503","4.25%","7.22","1.55","1.18","Analyze"
"VTRS","Viatris Inc.","Common stocks","Large cap","Health Care","$13,375,911,116","4.28%","81.28","0.76","0.67","Analyze"
"IPG","Interpublic Group Of Companies Inc","Common stocks","Large cap","Communication Services","$13,349,709,310","3.33%","13.12","1.27","3.84","Analyze"
"RE","Everest Re Group Ltd","Common stocks","Large cap","Financials","$13,235,431,590","1.91%","9.69","1.15","1.36","Analyze"
"IP","International Paper","Common stocks","Large cap","Materials","$13,202,470,734","4.90%","7.54","0.69","1.50","Analyze"
"PARA","Paramount Global - Class B","Common stocks","Large cap","Communication Services","$13,149,395,232","4.74%","3.02","0.46","0.54","Analyze"
"POOL","Pool Corp","Common stocks","Large cap","Consumer Discretionary","$12,863,664,075","1.15%","18.06","2.28","11.24","Analyze"
"CPT","Camden Property Trust","REITs","Large cap","Real Estate","$12,818,518,452","3.00%","36.03","10.80","3.02","Analyze"
"SNA","Snap On Inc","Common stocks","Large cap","Industrials","$12,789,006,143","2.42%","15.23","2.74","2.99","Analyze"
