コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
5621,ヒューマンテクノロジーズ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
5622,ワンビ,PRO Market,5250,情報・通信業,10,情報通信・サービスその他,-,-
5631,日本製鋼所,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
5632,三菱製鋼,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,7,TOPIX Small 2
5644,メタルアート,スタンダード（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,-,-
5658,日亜鋼業,スタンダード（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,-,-
5659,日本精線,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,7,TOPIX Small 2
5660,神鋼鋼線工業,スタンダード（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,-,-
5695,パウダーテック,スタンダード（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,-,-
5697,サンユウ,スタンダード（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,-,-
5698,エンビプロ・ホールディングス,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,7,TOPIX Small 2
5699,イボキン,スタンダード（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,-,-
5702,大紀アルミニウム工業所,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,6,TOPIX Small 1
5703,日本軽金属ホールディングス,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,6,TOPIX Small 1
5704,ＪＭＣ,グロース（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,-,-
5706,三井金属鉱業,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,4,TOPIX Mid400
5707,東邦亜鉛,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,7,TOPIX Small 2
5711,三菱マテリアル,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,4,TOPIX Mid400
5713,住友金属鉱山,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,4,TOPIX Mid400
5714,ＤＯＷＡホールディングス,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,4,TOPIX Mid400
5715,古河機械金属,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,7,TOPIX Small 2
5721,エス・サイエンス,スタンダード（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,-,-
5724,アサカ理研,スタンダード（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,-,-
5726,大阪チタニウムテクノロジーズ,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,6,TOPIX Small 1
5727,東邦チタニウム,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,6,TOPIX Small 1
5729,日本精鉱,スタンダード（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,-,-
5741,ＵＡＣＪ,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,6,TOPIX Small 1
5742,エヌアイシ・オートテック,スタンダード（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,-,-
5753,日本伸銅,スタンダード（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,-,-
5757,ＣＫサンエツ,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,7,TOPIX Small 2
5801,古河電気工業,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,4,TOPIX Mid400
5802,住友電気工業,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,2,TOPIX Large70
5803,フジクラ,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,4,TOPIX Mid400
5805,ＳＷＣＣ,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,6,TOPIX Small 1
5816,オーナンバ,スタンダード（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,-,-
5817,ＪＭＡＣＳ,スタンダード（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,-,-
5819,カナレ電気,スタンダード（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,-,-
5820,三ッ星,スタンダード（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,-,-
5821,平河ヒューテック,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,7,TOPIX Small 2
5830,いよぎんホールディングス,プライム（内国株式）,7050,銀行業,15,銀行,4,TOPIX Mid400
5831,しずおかフィナンシャルグループ,プライム（内国株式）,7050,銀行業,15,銀行,4,TOPIX Mid400
5832,ちゅうぎんフィナンシャルグループ,プライム（内国株式）,7050,銀行業,15,銀行,4,TOPIX Mid400
5834,ＳＢＩリーシングサービス,グロース（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,-,-
5838,楽天銀行,プライム（内国株式）,7050,銀行業,15,銀行,4,TOPIX Mid400
5840,日本総険,PRO Market,7150,保険業,16,金融（除く銀行）,-,-
5842,インテグラル,グロース（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,-,-
5843,ニッポンインシュア,スタンダード（内国株式）,7200,その他金融業,16,金融（除く銀行）,-,-
5844,京都フィナンシャルグループ,プライム（内国株式）,7050,銀行業,15,銀行,4,TOPIX Mid400
5845,全保連,スタンダード（内国株式）,7200,その他金融業,16,金融（除く銀行）,-,-
5851,リョービ,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,6,TOPIX Small 1
5852,アーレスティ,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,-,-
5856,エルアイイーエイチ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
5857,ＡＲＥホールディングス,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,6,TOPIX Small 1
5858,ＳＴＧ,グロース（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,-,-
5866,ＷｉｚＢｉｚ,PRO Market,9050,サービス業,10,情報通信・サービスその他,-,-
5867,エスネットワークス,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
5868,ロココ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
5869,早稲田学習研究会,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
5870,ナルネットコミュニケーションズ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
5871,ＳＯＬＩＺＥ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
5881,サンフェステ,PRO Market,6100,小売業,14,小売,-,-
5883,ＧＴホールディングス,PRO Market,6050,卸売業,13,商社・卸売,-,-
5884,クラダシ,グロース（内国株式）,6100,小売業,14,小売,-,-
5885,ジーデップ・アドバンス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
5886,ＯＯＫＡＢＥ　ＧＬＡＳＳ,PRO Market,6050,卸売業,13,商社・卸売,-,-
5887,光響,PRO Market,6050,卸売業,13,商社・卸売,-,-
5888,ＤＡＩＷＡ　ＣＹＣＬＥ,グロース（内国株式）,6100,小売業,14,小売,-,-
5889,Ｊａｐａｎ　Ｅｙｅｗｅａｒ　Ｈｏｌｄｉｎｇｓ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
5890,オフィスバスターズ,PRO Market,6100,小売業,14,小売,-,-
5891,魁力屋,スタンダード（内国株式）,6100,小売業,14,小売,-,-
5892,ｙｕｔｏｒｉ,グロース（内国株式）,6100,小売業,14,小売,-,-
5893,ＲＡＶＩＰＡ,PRO Market,6100,小売業,14,小売,-,-
5900,ダイケン,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
5901,東洋製罐グループホールディングス,プライム（内国株式）,3550,金属製品,3,建設・資材,4,TOPIX Mid400
5902,ホッカンホールディングス,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
5903,シンポ,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
5905,日本製罐,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
5906,エムケー精工,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
5909,コロナ,スタンダード（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
5911,横河ブリッジホールディングス,プライム（内国株式）,3550,金属製品,3,建設・資材,6,TOPIX Small 1
5915,駒井ハルテック,プライム（内国株式）,3550,金属製品,3,建設・資材,-,-
5918,瀧上工業,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
5921,川岸工業,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
5922,那須電機鉄工,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
5923,高田機工,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
5928,アルメタックス,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
5929,三和ホールディングス,プライム（内国株式）,3550,金属製品,3,建設・資材,4,TOPIX Mid400
5930,文化シヤッター,プライム（内国株式）,3550,金属製品,3,建設・資材,6,TOPIX Small 1
5932,三協立山,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
5933,アルインコ,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
5935,元旦ビューティ工業,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
5936,東洋シヤッター,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
5938,ＬＩＸＩＬ,プライム（内国株式）,3550,金属製品,3,建設・資材,4,TOPIX Mid400
5939,大谷工業,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
5940,不二サッシ,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
5941,中西製作所,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
5942,日本フイルコン,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
5943,ノーリツ,プライム（内国株式）,3550,金属製品,3,建設・資材,6,TOPIX Small 1
5945,天龍製鋸,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
5946,長府製作所,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
5947,リンナイ,プライム（内国株式）,3550,金属製品,3,建設・資材,4,TOPIX Mid400
5949,ユニプレス,プライム（内国株式）,3700,輸送用機器,6,自動車・輸送機,6,TOPIX Small 1
5950,日本パワーファスニング,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
5951,ダイニチ工業,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
5952,アマテイ,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
5955,ワイズホールディングス,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
5956,トーソー,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
5957,日東精工,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
5958,三洋工業,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
5959,岡部,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
5962,浅香工業,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
5965,フジマック,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
5966,京都機械工具,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
5967,ＴＯＮＥ,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
5969,ロブテックス,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
5970,ジーテクト,プライム（内国株式）,3550,金属製品,3,建設・資材,6,TOPIX Small 1
5971,共和工業所,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
5973,トーアミ,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
5974,中国工業,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
5975,東プレ,プライム（内国株式）,3550,金属製品,3,建設・資材,6,TOPIX Small 1
5976,高周波熱錬,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
5981,東京製綱,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
5982,マルゼン,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
5983,イワブチ,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
5984,兼房,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
5985,サンコール,スタンダード（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
5986,モリテック　スチール,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
5987,オーネックス,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
5988,パイオラックス,プライム（内国株式）,3550,金属製品,3,建設・資材,6,TOPIX Small 1
5989,エイチワン,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
5990,スーパーツール,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
5991,日本発條,プライム（内国株式）,3550,金属製品,3,建設・資材,4,TOPIX Mid400
5992,中央発條,スタンダード（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
5994,ファインシンター,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
5997,協立エアテック,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
5998,アドバネクス,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
6005,三浦工業,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
6013,タクマ,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
6016,ジャパンエンジンコーポレーション,スタンダード（内国株式）,3700,輸送用機器,6,自動車・輸送機,-,-
6018,阪神内燃機工業,スタンダード（内国株式）,3700,輸送用機器,6,自動車・輸送機,-,-
6022,赤阪鐵工所,スタンダード（内国株式）,3600,機械,8,機械,-,-
6023,ダイハツディーゼル,スタンダード（内国株式）,3700,輸送用機器,6,自動車・輸送機,-,-
6026,ＧＭＯ　ＴＥＣＨ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6027,弁護士ドットコム,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6028,テクノプロ・ホールディングス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,4,TOPIX Mid400
6029,アトラグループ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6030,アドベンチャー,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6031,ＺＥＴＡ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6033,エクストリーム,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6034,ＭＲＴ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6035,アイ・アールジャパンホールディングス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
6036,ＫｅｅＰｅｒ技研,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
6037,楽待,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6038,イード,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6039,日本動物高度医療センター,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6040,日本スキー場開発,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6042,ニッキ,スタンダード（内国株式）,3700,輸送用機器,6,自動車・輸送機,-,-
6044,三機サービス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6045,レントラックス,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6046,リンクバル,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6047,Ｇｕｎｏｓｙ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
6048,デザインワン・ジャパン,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6049,イトクロ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6050,イー・ガーディアン,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
6054,リブセンス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6055,ジャパンマテリアル,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
6058,ベクトル,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
6059,ウチヤマホールディングス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6060,こころネット,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6061,ユニバーサル園芸社,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6062,チャーム・ケア・コーポレーション,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
6063,日本エマージェンシーアシスタンス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6069,トレンダーズ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6070,キャリアリンク,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
6071,ＩＢＪ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
6072,地盤ネットホールディングス,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6073,アサンテ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
6074,ジェイエスエス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6078,バリューＨＲ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
6080,Ｍ＆Ａキャピタルパートナーズ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
6081,アライドアーキテクツ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6082,ライドオンエクスプレスホールディングス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
6083,ＥＲＩホールディングス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6085,アーキテクツ・スタジオ・ジャパン,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6086,シンメンテホールディングス,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6087,アビスト,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6088,シグマクシス・ホールディングス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
6089,ウィルグループ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
6090,ヒューマン・メタボローム・テクノロジーズ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6091,ウエスコホールディングス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6092,エンバイオ・ホールディングス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6093,エスクロー・エージェント・ジャパン,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6094,フリークアウト・ホールディングス,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6095,メドピア,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
6096,レアジョブ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6098,リクルートホールディングス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,1,TOPIX Core30
6099,エラン,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
6101,ツガミ,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
6103,オークマ,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
6104,芝浦機械,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
6113,アマダ,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
6118,アイダエンジニアリング,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
6125,岡本工作機械製作所,スタンダード（内国株式）,3600,機械,8,機械,-,-
6131,浜井産業,スタンダード（内国株式）,3600,機械,8,機械,-,-
6134,ＦＵＪＩ,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
6135,牧野フライス製作所,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
6136,オーエスジー,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
6137,小池酸素工業,スタンダード（内国株式）,3600,機械,8,機械,-,-
6138,ダイジェット工業,スタンダード（内国株式）,3600,機械,8,機械,-,-
6140,旭ダイヤモンド工業,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
6141,ＤＭＧ森精機,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
6143,ソディック,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
6144,西部電機,スタンダード（内国株式）,3600,機械,8,機械,-,-
6145,ＮＩＴＴＯＫＵ,スタンダード（内国株式）,3600,機械,8,機械,-,-
6146,ディスコ,プライム（内国株式）,3600,機械,8,機械,2,TOPIX Large70
6147,ヤマザキ,スタンダード（内国株式）,3600,機械,8,機械,-,-
6149,小田原エンジニアリング,スタンダード（内国株式）,3600,機械,8,機械,-,-
6150,タケダ機械,スタンダード（内国株式）,3600,機械,8,機械,-,-
6151,日東工器,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6155,高松機械工業,スタンダード（内国株式）,3600,機械,8,機械,-,-
6156,エーワン精密,スタンダード（内国株式）,3600,機械,8,機械,-,-
6157,日進工具,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6158,和井田製作所,スタンダード（内国株式）,3600,機械,8,機械,-,-
6159,ミクロン精密,スタンダード（内国株式）,3600,機械,8,機械,-,-
6161,エスティック,スタンダード（内国株式）,3600,機械,8,機械,-,-
6164,太陽工機,スタンダード（内国株式）,3600,機械,8,機械,-,-
6165,パンチ工業,スタンダード（内国株式）,3600,機械,8,機械,-,-
6166,中村超硬,グロース（内国株式）,3600,機械,8,機械,-,-
6167,冨士ダイス,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6168,ＯＮＥ　ＧＲＯＵＰ,PRO Market,3600,機械,8,機械,-,-
6171,土木管理総合試験所,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6173,アクアライン,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6174,デンタス,PRO Market,9050,サービス業,10,情報通信・サービスその他,-,-
6176,ブランジスタ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6177,ＡｐｐＢａｎｋ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6178,日本郵政,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,2,TOPIX Large70
6180,ＧＭＯメディア,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6181,タメニー,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6182,メタリアル,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6183,ベルシステム２４ホールディングス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
6184,鎌倉新書,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
6185,ＳＭＮ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6186,一蔵,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6189,グローバルキッズＣＯＭＰＡＮＹ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6190,フェニックスバイオ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6191,エアトリ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
6193,バーチャレクス・ホールディングス,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6194,アトラエ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
6195,ホープ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6196,ストライク,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
6197,ソラスト,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
6198,キャリア,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
6199,セラク,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
6200,インソース,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
6201,豊田自動織機,プライム（内国株式）,3700,輸送用機器,6,自動車・輸送機,4,TOPIX Mid400
6203,豊和工業,スタンダード（内国株式）,3600,機械,8,機械,-,-
6208,石川製作所,スタンダード（内国株式）,3600,機械,8,機械,-,-
6209,リケンＮＰＲ,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
6210,東洋機械金属,スタンダード（内国株式）,3600,機械,8,機械,-,-
6217,津田駒工業,スタンダード（内国株式）,3600,機械,8,機械,-,-
6218,エンシュウ,スタンダード（内国株式）,3600,機械,8,機械,-,-
6222,島精機製作所,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
6223,西部技研,スタンダード（内国株式）,3600,機械,8,機械,-,-
6224,ＪＲＣ,グロース（内国株式）,3600,機械,8,機械,-,-
6226,守谷輸送機工業,スタンダード（内国株式）,3600,機械,8,機械,-,-
6227,ＡＩメカテック,スタンダード（内国株式）,3600,機械,8,機械,-,-
6228,ジェイ・イー・ティ,スタンダード（内国株式）,3600,機械,8,機械,-,-
6229,オーケーエム,スタンダード（内国株式）,3600,機械,8,機械,-,-
6230,ＳＡＮＥＩ,スタンダード（内国株式）,3600,機械,8,機械,-,-
6231,木村工機,スタンダード（内国株式）,3600,機械,8,機械,-,-
6232,ＡＣＳＬ,グロース（内国株式）,3600,機械,8,機械,-,-
6233,ＫＬＡＳＳ,スタンダード（内国株式）,3600,機械,8,機械,-,-
6235,オプトラン,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
6237,イワキポンプ,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6238,フリュー,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6239,ナガオカ,スタンダード（内国株式）,3600,機械,8,機械,-,-
6240,ヤマシンフィルタ,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6245,ヒラノテクシード,スタンダード（内国株式）,3600,機械,8,機械,-,-
6246,テクノスマート,スタンダード（内国株式）,3600,機械,8,機械,-,-
6247,日阪製作所,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6248,横田製作所,スタンダード（内国株式）,3600,機械,8,機械,-,-
6249,ゲームカード・ジョイコホールディングス,スタンダード（内国株式）,3600,機械,8,機械,-,-
6250,やまびこ,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
6254,野村マイクロ・サイエンス,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
6255,エヌ・ピー・シー,グロース（内国株式）,3600,機械,8,機械,-,-
6257,藤商事,スタンダード（内国株式）,3600,機械,8,機械,-,-
6258,平田機工,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
6262,ＰＥＧＡＳＵＳ,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6264,マルマエ,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
6265,コンバム,スタンダード（内国株式）,3600,機械,8,機械,-,-
6266,タツモ,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
6267,ゼネラルパッカー,スタンダード（内国株式）,3600,機械,8,機械,-,-
6268,ナブテスコ,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
6269,三井海洋開発,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
6272,レオン自動機,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
